dataset_name,target_name,target_name_hlsp,grating,snr
oeuc4s020,SK-70D13,SK-70D13,E140M,
oejg3s010,SK-67D266,SK-67D266,E140M,
oedj03080,HD-269698,SK-67D166,E140M,
oejf2s010,SK-68D41,SK-68D41,E140M,
oe9p1s020,AV187,AV-187,E230M,
oejf1s030,SK-66D171,SK-66D171,E230M,
oda963020,SK-672,SK-67D2,E230M,
oemubs010,AV314,AV-314,E230M,
oda910010,SK-69175,SK-69D175,E140M,
oda905020,SK-6635,SK-66D35,E140M,
oemu5s010,SK179,SK-179,E230M,
oe4x15010,SK-107,AV-317,E140M,
o6lz12010,HD38282,SK-69D246,E140M,
obzl04050,SK-68D73,SK-68D73,E230M,
obzl04020,SK-68D73,SK-68D73,E230M,
ockp11010,AZV388,AV-388,E230M,
obzl04030,SK-68D73,SK-68D73,E230M,
obzl04040,SK-68D73,SK-68D73,E230M,
o6lz10010,HD270952,SK-65D22,E140M,
o6lz11010,HD269810,SK-67D211,E140M,
oeuc4s010,SK-70D13,SK-70D13,E140M,
ockp08010,AZV242,AV-242,E230M,
oejf2s030,SK-68D41,SK-68D41,E230M,
oda922030,SK-6852,SK-68D52,E140M,
oe9f2t020,AV266,AV-266,E230M,
oe9f1s020,AV235,AV-235,E140M,
oda931020,SK-68135,SK-68D135,E140M,
oe9s3s020,SK-67D118,SK-67D118,E140M,
oe9p1s010,AV187,AV-187,E230M,
oejfcs020,SK-69D43,SK-69D43,E140M,
oejfes020,SK-70D32,SK-70D32,E140M,
oejfcs030,SK-69D43,SK-69D43,E140M,
oejfes030,SK-70D32,SK-70D32,E140M,
oda963010,SK-672,SK-67D2,E230M,
o4wr01010,NGC346-355-OFFSET,NGC346-MPG-355,E140M,
oda907020,SK-67191,SK-67D191,E230M,
ockp14010,AZV476,AV-476,E230M,
obzl04010,SK-68D73,SK-68D73,E230M,
oejvbs020,AV264,AV-264,E140M,
o4wr11020,AV75,AV-75,E140M,
o4yn04020,SK-67.107,SK-67D107,E140M,
oeuk1s020,SK-67D261,SK-67D261,E140M,
oetn3s020,SK187,SK-187,E140M,
oeuk1s030,SK-67D261,SK-67D261,E140M,
oejg2s020,SK-65D55,SK-65D55,E140M,
oda914010,BI173,BI-173,E230M,
od7m04020,AAOMEGA-30DOR-142,BI-214,E140M,
oef11s030,NGC2004-ELS-3,NGC2004-ELS-003,E230M,
od7m04030,AAOMEGA-30DOR-142,BI-214,E140M,
oeui1s020,SK-66D100,SK-66D100,E140M,
o4wr30020,AV327,AV-327,E140M,
oda923020,SK-69220,SK-69D220,E140M,
ockp03020,AZV47,AV-47,E230M,
oe4x08010,MOA-J010321.3-720538,MOA-J010321M720538,E140M,
oe9f3s030,AV372,AV-372,E140M,
oedj040a0,HD-269698,SK-67D166,E140M,
oejfcs010,SK-69D43,SK-69D43,E140M,
oda914020,BI173,BI-173,E230M,
o6df01020,AV215,AV-215,E230M,
ockp05020,AZV80,AV-80,E230M,
ockp07010,AZV207,AV-207,E230M,
oef1gs010,SK-68D8,SK-68D8,E230M,
oe9e2s020,NGC346-MPG-355,NGC346-MPG-355,E140M,
oejfes010,SK-70D32,SK-70D32,E140M,
oe9s3s010,SK-67D118,SK-67D118,E140M,
ockp08020,AZV242,AV-242,E230M,
ody236010,SK-101,AV-287,E140M,
o4yn01010,SK-67.101,SK-67D101,E140M,
oehics020,SK-67D69,SK-67D69,E140M,
oe9f3s020,AV372,AV-372,E140M,
oe9s1s020,BI272,BI-272,E140M,
o4yn01020,SK-67.101,SK-67D101,E140M,
oe9s4s020,SK-68D16,SK-68D16,E140M,
oe9s1s030,BI272,BI-272,E140M,
oda931010,SK-68135,SK-68D135,E140M,
oejvbs010,AV264,AV-264,E140M,
o63521010,HD269676,SK-71D45,E140M,
oetn3s010,SK187,SK-187,E140M,
oejv4t010,AV96,AV-96,E230M,
oeuk1s010,SK-67D261,SK-67D261,E140M,
oe9s4t020,SK-68D16,SK-68D16,E140M,
oejg2s010,SK-65D55,SK-65D55,E140M,
ockp16030,SK190,SK-190,E140M,
od7m04010,AAOMEGA-30DOR-142,BI-214,E140M,
oeui1s010,SK-66D100,SK-66D100,E140M,
oda907010,SK-67191,SK-67D191,E230M,
oe4x14010,SK-148,AV-469,E140M,
oeb72s020,LH114-7,LH-114-7,E140M,
oef13s020,SK-69D140,SK-69D140,E230M,
o6df02020,AV104,AV-104,E230M,
oda971020,SK-7079,SK-70D79,E230M,
oe9p3s010,AV324,AV-324,E230M,
o6lz03010,SK80,AV-232,E140M,
ody234010,SK-32,AV-61,E140M,
oe4x10010,BBB-SMC-266,AV-26,E140M,
oe4x01010,SK-183,SK-183,E140M,
o4wr15020,AV83,AV-83,E140M,
oe9e2s010,NGC346-MPG-355,NGC346-MPG-355,E140M,
oejv4s010,AV96,AV-96,E230M,
o4wr11010,AV75,AV-75,E140M,
oehics010,SK-67D69,SK-67D69,E140M,
ockp06020,AZV95,AV-95,E230M,
oeb74s020,SK-67D22,SK-67D22,E140M,
o4wr13020,AV69,AV-69,E140M,
oeuc3s020,SK-67D216,SK-67D216,E140M,
oeb74s030,SK-67D22,SK-67D22,E140M,
oeuc3s030,SK-67D216,SK-67D216,E140M,
oda969020,SK-66172,SK-66D172,E230M,
o4wr30010,AV327,AV-327,E140M,
oda934020,SK-6826,SK-68D26,E230M,
oe9s1s010,BI272,BI-272,E140M,
oe9s4s010,SK-68D16,SK-68D16,E140M,
oef32s020,SK-68D15,SK-68D15,E140M,
od7m05020,ELS2006-N11-020,N11-ELS-020,E140M,
oda934030,SK-6826,SK-68D26,E230M,
o4wr18020,AV423,AV-423,E140M,
oda914040,BI173,BI-173,E140M,
obi405010,SK-69D50,SK-69D50,E140M,
oejg1s020,HD269927C,HD-269927C,E140M,
oda907040,SK-67191,SK-67D191,E140M,
oe9s4t010,SK-68D16,SK-68D16,E140M,
oef13s010,SK-69D140,SK-69D140,E230M,
ockp09020,AZV321,AV-321,E230M,
ody235010,SK-142,AV-454,E140M,
oeuf2s030,PGMW-3070,PGMW-3070,E140M,
o49wa2010,LMCX-4,LMCX-4,E140M,
o6df03030,SK191,SK-191,E140M,
o4wr16020,AV47,AV-47,E140M,
oejf1s020,SK-66D171,SK-66D171,E140M,
oeuf2s020,PGMW-3070,PGMW-3070,E140M,
oe9f2s020,AV266,AV-266,E140M,
o49wa4010,LMCX-4,LMCX-4,E140M,
oeb72s010,LH114-7,LH-114-7,E140M,
o4yn04010,SK-67.107,SK-67D107,E140M,
ockp16010,SK190,SK-190,E230M,
o6df08030,AV362,AV-362,E140M,
o49wa1010,LMCX-4,LMCX-4,E140M,
oda907030,SK-67191,SK-67D191,E140M,
oekh2s010,SK-67D195,SK-67D195,E230M,
oda971010,SK-7079,SK-70D79,E230M,
o49wa5010,LMCX-4,LMCX-4,E140M,
oeuf3s020,SK-66D18,SK-66D18,E140M,
oe9sbs030,LH9-34,PGMW-1363,E140M,
o49wa3010,LMCX-4,LMCX-4,E140M,
oef31s020,SK-67D20,SK-67D20,E140M,
oeuc3s010,SK-67D216,SK-67D216,E140M,
o6df02030,AV104,AV-104,E140M,
oef33s020,SK-69D191,SK-69D191,E140M,
oejv4t020,AV96,AV-96,E140M,
oef31s030,SK-67D20,SK-67D20,E140M,
oef33s030,SK-69D191,SK-69D191,E140M,
oda914050,BI173,BI-173,E140M,
oejv4s020,AV96,AV-96,E140M,
od7m05010,ELS2006-N11-020,N11-ELS-020,E140M,
oemucs010,AV343,AV-343,E230M,
oejg1s010,HD269927C,HD-269927C,E140M,
o4wr15010,AV83,AV-83,E140M,
oejv4s030,AV96,AV-96,E140M,
ockp11020,AZV388,AV-388,E230M,
oeb74s010,SK-67D22,SK-67D22,E140M,
oeuc2s020,SK-65D2,SK-65D2,E140M,
oef32s010,SK-68D15,SK-68D15,E140M,
oe9f2t010,AV266,AV-266,E140M,
oef11s010,NGC2004-ELS-3,NGC2004-ELS-003,E230M,
oda969010,SK-66172,SK-66D172,E230M,
oetn2s020,AV410,AV-410,E140M,
oe9sgs010,LH9-34,PGMW-1363,E140M,
oc2h04020,HD141569,HD-141569,E140M,
o4wr01020,NGC346-324,NGC346-ELS-007,E140M,
oeuc2s030,SK-65D2,SK-65D2,E140M,
ockp13010,AZV456,AV-456,E230M,
oda919020,SK-7150,SK-71D50,E230M,
oetn2t020,AV410,AV-410,E140M,
oda934010,SK-6826,SK-68D26,E230M,
oe9f2s010,AV266,AV-266,E140M,
oeuf2s010,PGMW-3070,PGMW-3070,E140M,
oda970020,SK-66172,SK-66D172,E140M,
oe4x18010,MPG-342,NGC346-MPG-342,E140M,
oejf2s020,SK-68D41,SK-68D41,E140M,
oeuf3s010,SK-66D18,SK-66D18,E140M,
oe9sbs010,LH9-34,PGMW-1363,E140M,
o4wr13010,AV69,AV-69,E140M,
oda974020,PGMW3223,N11-ELS-013,E230M,
o4wr17020,AV95,AV-95,E140M,
o4wr18010,AV423,AV-423,E140M,
o67t08020,4U0115-737,AV-490,E140M,
ockp10010,AZV321,AV-321,E140M,
o4wr01030,NGC346-368,NGC346-MPG-368,E140M,
oef31s010,SK-67D20,SK-67D20,E140M,
o67t06020,4U0115-737,AV-490,E140M,
obi407010,SK-71D41,SK-71D41,E140M,
oef33s010,SK-69D191,SK-69D191,E140M,
o4wr16010,AV47,AV-47,E140M,
oeuc2s010,SK-65D2,SK-65D2,E140M,
oeuf4s020,SK-70D69,SK-70D69,E140M,
o67t03020,4U0115-737,AV-490,E140M,
oeuf4s030,SK-70D69,SK-70D69,E140M,
o6df04020,AV210,AV-210,E230M,
o67t01020,4U0115-737,AV-490,E140M,
o67t08010,4U0115-737,AV-490,E140M,
oetn2s010,AV410,AV-410,E140M,
o67t53020,4U0115-737,AV-490,E140M,
oehidt020,SK-70D60,SK-70D60,E140M,
o67t06010,4U0115-737,AV-490,E140M,
o4wr12020,AV80,AV-80,E140M,
oda964020,SK-672,SK-67D2,E140M,
ody230010,LIN-160,AV-81,E140M,
o67t04020,4U0115-737,AV-490,E140M,
oetn2t010,AV410,AV-410,E140M,
oehiis020,SK-70D60,SK-70D60,E140M,
o4wr19020,AV170,AV-170,E140M,
o67t03010,4U0115-737,AV-490,E140M,
o67t07020,4U0115-737,AV-490,E140M,
o6df10020,AV22,AV-22,E230M,
oc2h04030,HD141569,HD-141569,E140M,
o67t02020,4U0115-737,AV-490,E140M,
o67t05020,4U0115-737,AV-490,E140M,
oda975020,SK-68155,SK-68D155,E230M,
o6df01030,AV215,AV-215,E140M,
o67t01010,4U0115-737,AV-490,E140M,
o67t54020,4U0115-737,AV-490,E140M,
oda970010,SK-66172,SK-66D172,E140M,
o67t53010,4U0115-737,AV-490,E140M,
oda976020,SK-68155,SK-68D155,E230M,
ockp12010,AZV388,AV-388,E140M,
oda972020,SK-7079,SK-70D79,E140M,
o6df09020,AV22,AV-22,E230M,
o67t04010,4U0115-737,AV-490,E140M,
o67t07010,4U0115-737,AV-490,E140M,
o67t05010,4U0115-737,AV-490,E140M,
oda919010,SK-7150,SK-71D50,E230M,
o67t02010,4U0115-737,AV-490,E140M,
o4wr20020,AV220,AV-220,E140M,
oeuf4s010,SK-70D69,SK-70D69,E140M,
o6df22030,NGC330-A02,NGC330-ELS-002,E230M,
oda974010,PGMW3223,N11-ELS-013,E230M,
ob6b25050,HD-104237,HD-104237,E140M,
o67t54010,4U0115-737,AV-490,E140M,
oejf6s020,SK-71D8,SK-71D8,E140M,
ockp16020,SK190,SK-190,E230M,
ody239010,LIN-78,AV-14,E140M,
oejf6s030,SK-71D8,SK-71D8,E140M,
oehidt010,SK-70D60,SK-70D60,E140M,
oda971030,SK-7079,SK-70D79,E140M,
oehiis010,SK-70D60,SK-70D60,E140M,
o4wr17010,AV95,AV-95,E140M,
oda968020,SK-69279,SK-69D279,E230M,
oda964010,SK-672,SK-67D2,E140M,
oda972010,SK-7079,SK-70D79,E140M,
o6df21040,NGC330-B37,NGC330-ELS-004,E230M,
ockp07020,AZV207,AV-207,E230M,
oef11s020,NGC2004-ELS-3,NGC2004-ELS-003,E230M,
oda967020,SK-69279,SK-69D279,E230M,
oda975010,SK-68155,SK-68D155,E230M,
o6df20040,NGC330-B37,NGC330-ELS-004,E230M,
o4wr19010,AV170,AV-170,E140M,
oe9p2s020,AV234,AV-234,E230M,
oda976010,SK-68155,SK-68D155,E230M,
o4wr12010,AV80,AV-80,E140M,
oejf6s010,SK-71D8,SK-71D8,E140M,
o6df06020,AV18,AV-18,E230M,
oe9p2t020,AV234,AV-234,E230M,
o6df07020,AV18,AV-18,E230M,
oetn1s020,2DFS-3780,2DFS-3780,E140M,
o4wr20010,AV220,AV-220,E140M,
o63l02030,T-TAU,V-T-TAU,E230M,
oda968010,SK-69279,SK-69D279,E230M,
o63l02020,T-TAU,V-T-TAU,E230M,
oetn1s030,2DFS-3780,2DFS-3780,E140M,
oda919030,SK-7150,SK-71D50,E230M,
oda919070,SK-7150,SK-71D50,E140M,
oeb71s020,BAT99-105,BAT99-105,E140M,
ockp15010,AZV476,AV-476,E230M,
oda928020,SK-68129,SK-68D129,E230M,
oe9f4s020,AV488,AV-488,E140M,
oda967010,SK-69279,SK-69D279,E230M,
oeb71t020,BAT99-105,BAT99-105,E140M,
oda962020,SK-68140,SK-68D140,E230M,
oe9p2s010,AV234,AV-234,E230M,
oda919060,SK-7150,SK-71D50,E140M,
oda928030,SK-68129,SK-68D129,E230M,
oda929020,BI253,VFTS-72,E230M,
o6df22020,NGC330-A02,NGC330-ELS-002,E230M,
oda928040,SK-68129,SK-68D129,E230M,
oetn1s010,2DFS-3780,2DFS-3780,E140M,
o6df14040,AV216,AV-216,E230M,
oedj06030,HD-269698,SK-67D166,E140M,
oda928050,SK-68129,SK-68D129,E230M,
oda973020,PGMW3223,N11-ELS-013,E140M,
oda973030,PGMW3223,N11-ELS-013,E140M,
oe9p2t010,AV234,AV-234,E230M,
ody240010,AZV-296,AV-296,E140M,
oedj05050,HD-269698,SK-67D166,E140M,
oda929030,BI253,VFTS-72,E230M,
o4wr14010,AV15,AV-15,E140M,
oedj05030,HD-269698,SK-67D166,E140M,
oedj07030,HD-269698,SK-67D166,E140M,
oda932030,SK-68140,SK-68D140,E230M,
o6df05010,AV210,AV-210,E230M,
oda926020,BI237,BI-237,E230M,
o6df04030,AV210,AV-210,E140M,
oda918020,BI184,BI-184,E230M,
o4wr23010,NGC346-487-REVISED,NGC346-MPG-487,E140M,
o4wr23010,NGC346-487-REVISED,NGC346-MPG-487,E140M,
o4wr23010,NGC346-487-REVISED,NGC346-MPG-487,E140M,
o63l02010,T-TAU,V-T-TAU,E230M,
oeb71s010,BAT99-105,BAT99-105,E140M,
oda929010,BI253,VFTS-72,E230M,
oda928010,SK-68129,SK-68D129,E230M,
oeb71t010,BAT99-105,BAT99-105,E140M,
o6df15040,AV216,AV-216,E230M,
oda932010,SK-68140,SK-68D140,E230M,
ody237010,AZV-258,AV-258,E140M,
oda973010,PGMW3223,N11-ELS-013,E140M,
oda962010,SK-68140,SK-68D140,E230M,
oda912010,PGMW3120,PGMW-3120,E230M,
oda918010,BI184,BI-184,E230M,
o4wr02010,NGC346-113-OFFSET,NGC346-ELS-028,E140M,
o4wr02010,NGC346-113-OFFSET,NGC346-ELS-028,E140M,
o4wr02010,NGC346-113-OFFSET,NGC346-ELS-028,E140M,
ody229010,SMC-AB-2,AV-39A,E140M,
oda926010,BI237,BI-237,E230M,
oejvct020,AV85,AV-85,E140M,
oda918030,BI184,BI-184,E230M,
oda926030,BI237,BI-237,E230M,
od9a13010,RMC-4,AV-16,E140M,
o6df10030,AV22,AV-22,E140M,
o6df10030,AV22,AV-22,E140M,
oda929040,BI253,VFTS-72,E230M,
o6df14030,AV216,AV-216,E140M,
o6df15030,AV216,AV-216,E140M,
o6df09030,AV22,AV-22,E140M,
oejvcs020,AV85,AV-85,E140M,
ob6bb5030,NAME-RW-AUR-A,V-RW-AUR,E230M,
oejvcs030,AV85,AV-85,E140M,
oejvct010,AV85,AV-85,E140M,
o6df21030,NGC330-B37,NGC330-ELS-004,E140M,
o6df20030,NGC330-B37,NGC330-ELS-004,E140M,
o6df23030,NGC330-A02,NGC330-ELS-002,E140M,
o6df23030,NGC330-A02,NGC330-ELS-002,E140M,
o6df24030,NGC330-A02,NGC330-ELS-002,E140M,
oejvcs010,AV85,AV-85,E140M,
ockp13020,AZV456,AV-456,E230M,
ockp13020,AZV456,AV-456,E230M,
ockp13020,AZV456,AV-456,E230M,
ockp08030,AZV242,AV-242,E140M,
o5ez01030,LH10-3120,PGMW-3120,E140M,
o63l01020,RY-TAU,V-RY-TAU,E230M,
o5ez01020,LH10-3120,PGMW-3120,E140M,
oe4x04010,NGC-346-SSN25,NGC346-MPG-602,E140M,
oda912020,PGMW3120,PGMW-3120,E230M,
o63l01030,RY-TAU,V-RY-TAU,E230M,
