dataset_name,target_name_hlsp,qual_comm
le9d1cdgq,V-TW-HYA,[le9d1cdgq] Manual wavelength shift
le9d1cdiq,V-TW-HYA,[le9d1cdgq] Manual wavelength shift
le9d1cdkq,V-TW-HYA,[le9d1cdkq] Manual wavelength shift
le9d1cdmq,V-TW-HYA,[le9d1cdmq] Manual wavelength shift
le9d1cdoq,V-TW-HYA,[le9d1cdoq] Manual wavelength shift
le9d1gw7q,V-TW-HYA,[le9d1gw7q] Manual wavelength shift
leit1kldq,V-RU-LUP,[leit1kldq] NUVB flux rescaled for vignetting
lek71gmlq,V-GM-AUR,[lek71gmlq] NUVB flux rescaled for vignetting
leph1hoiq,V-RU-LUP,[leph1hoiq] NUVB flux rescaled for vignetting
lejp1nkbq,V-BP-TAU,[lejp1nkbq] NUVB flux rescaled for vignetting
lepg1dd7q,V-GM-AUR,[lepg1dd7q] NUVB flux rescaled for vignetting
lepd1nonq,V-BP-TAU,[lepd1nonq] NUVB flux rescaled for vignetting
lepg1igfq,V-GM-AUR,[lepg1igfq] NUVB flux rescaled for vignetting
leph1konq,V-RU-LUP,[leph1konq] NUVB flux rescaled for vignetting
leph1gkzq,V-RU-LUP,[leph1gkzq] NUVB flux rescaled for vignetting
lek7alh6q,V-GM-AUR,[lek7alh6q] NUVB flux rescaled for vignetting
le9d1lioq,V-TW-HYA,[le9d1lioq] NUVB flux rescaled for vignetting
lepd1jkhq,V-BP-TAU,[lepd1jkhq] NUVB flux rescaled for vignetting
lek71ecnq,V-GM-AUR,[lek71ecnq] NUVB flux rescaled for vignetting
le9d1ifeq,V-TW-HYA,[le9d1ifeq] NUVB flux rescaled for vignetting
lepg1gf1q,V-GM-AUR,[lepg1gf1q] NUVB flux rescaled for vignetting
lejp1llrq,V-BP-TAU,[lejp1llrq] NUVB flux rescaled for vignetting
lepd1cjcq,V-BP-TAU,[lepd1cjcq] NUVB flux rescaled for vignetting
leit1mujq,V-RU-LUP,[leit1mujq] NUVB flux rescaled for vignetting
leph1ndoq,V-RU-LUP,[leph1ndoq] NUVB flux rescaled for vignetting
le9d1dhkq,V-TW-HYA,[le9d1dhkq] NUVB flux rescaled for vignetting
lek7ampxq,V-GM-AUR,[lek7ampxq] NUVB flux rescaled for vignetting
lejp1iqwq,V-BP-TAU,[lejp1iqwq] NUVB flux rescaled for vignetting
lepc1fm9q,V-TW-HYA,[lepc1fm9q] NUVB flux rescaled for vignetting
lek71fhoq,V-GM-AUR,[lek71fhoq] NUVB flux rescaled for vignetting
leph1faqq,V-RU-LUP,[leph1faqq] NUVB flux rescaled for vignetting
lepc1kowq,V-TW-HYA,[lepc1kowq] NUVB flux rescaled for vignetting
lepc1cxiq,V-TW-HYA,[lepc1cxiq] NUVB flux rescaled for vignetting
leit1icaq,V-RU-LUP,[leit1icaq] NUVB flux rescaled for vignetting
lejp1eguq,V-BP-TAU,[lejp1eguq] NUVB flux rescaled for vignetting
lepc1idwq,V-TW-HYA,[lepc1idwq] NUVB flux rescaled for vignetting
lejp1kk7q,V-BP-TAU,[lejp1kk7q] NUVB flux rescaled for vignetting
lejp1chiq,V-BP-TAU,[lejp1chiq] NUVB flux rescaled for vignetting
le9d1cdeq,V-TW-HYA,[le9d1cdeq] Manual wavelength shift & NUVB flux rescaled for vignetting
lek71ianq,V-GM-AUR,[lek71ianq] NUVB flux rescaled for vignetting
leph1ideq,V-RU-LUP,[leph1ideq] NUVB flux rescaled for vignetting
lek71dx4q,V-GM-AUR,[lek71dx4q] NUVB flux rescaled for vignetting
lepg1jlrq,V-GM-AUR,[lepg1jlrq] NUVB flux rescaled for vignetting
lepdagy6q,V-BP-TAU,[lepdagy6q] NUVB flux rescaled for vignetting
leph1jk0q,V-RU-LUP,[leph1jk0q] NUVB flux rescaled for vignetting
leph1lucq,V-RU-LUP,[leph1lucq] NUVB flux rescaled for vignetting
le9d1hzoq,V-TW-HYA,[le9d1hzoq] NUVB flux rescaled for vignetting
lepd1fe2q,V-BP-TAU,[lepd1fe2q] NUVB flux rescaled for vignetting
leph1cn5q,V-RU-LUP,[leph1cn5q] NUVB flux rescaled for vignetting
lepd1kugq,V-BP-TAU,[lepd1kugq] NUVB flux rescaled for vignetting
leit1eu5q,V-RU-LUP,[leit1eu5q] NUVB flux rescaled for vignetting
lepd1lhbq,V-BP-TAU,[lepd1lhbq] NUVB flux rescaled for vignetting
lek7ajcgq,V-GM-AUR,[lek7ajcgq] NUVB flux rescaled for vignetting
leit1jh5q,V-RU-LUP,[leit1jh5q] NUVB flux rescaled for vignetting
lephaemeq,V-RU-LUP,[lephaemeq] NUVB flux rescaled for vignetting
lepg1kw2q,V-GM-AUR,[lepg1kw2q] NUVB flux rescaled for vignetting
lejp1mydq,V-BP-TAU,[lejp1mydq] NUVB flux rescaled for vignetting
leit1gc7q,V-RU-LUP,[leit1gc7q] NUVB flux rescaled for vignetting
lephadhmq,V-RU-LUP,[lephadhmq] NUVB flux rescaled for vignetting
lepd1dymq,V-BP-TAU,[lepd1dymq] NUVB flux rescaled for vignetting
lepd1mdsq,V-BP-TAU,[lepd1mdsq] NUVB flux rescaled for vignetting
lepg1hopq,V-GM-AUR,[lepg1hopq] NUVB flux rescaled for vignetting
le9d1gw5q,V-TW-HYA,[le9d1gw5q] NUVB flux rescaled for vignetting
lepc1lt6q,V-TW-HYA,[lepc1lt6q] NUVB flux rescaled for vignetting
lepc1mdvq,V-TW-HYA,[lepc1mdvq] NUVB flux rescaled for vignetting
le9d1jarq,V-TW-HYA,[le9d1jarq] NUVB flux rescaled for vignetting
lepg1cntq,V-GM-AUR,[lepg1cntq] NUVB flux rescaled for vignetting
le9d1ekwq,V-TW-HYA,[le9d1ekwq] NUVB flux rescaled for vignetting
leit1hh5q,V-RU-LUP,[leit1hh5q] NUVB flux rescaled for vignetting
leit1njgq,V-RU-LUP,[leit1njgq] NUVB flux rescaled for vignetting
lepd1hzqq,V-BP-TAU,[lepd1hzqq] NUVB flux rescaled for vignetting
lek71cn5q,V-GM-AUR,[lek71cn5q] NUVB flux rescaled for vignetting
lepd1ijzq,V-BP-TAU,[lepd1ijzq] NUVB flux rescaled for vignetting
le9d1fqrq,V-TW-HYA,[le9d1fqrq] NUVB flux rescaled for vignetting
lepg1mbnq,V-GM-AUR,[lepg1mbnq] NUVB flux rescaled for vignetting
lejp1hibq,V-BP-TAU,[lejp1hibq] NUVB flux rescaled for vignetting
lepc1ehuq,V-TW-HYA,[lepc1ehuq] NUVB flux rescaled for vignetting
lejp1foeq,V-BP-TAU,[lejp1foeq] NUVB flux rescaled for vignetting
le9d1mnqq,V-TW-HYA,[le9d1mnqq] NUVB flux rescaled for vignetting
leit1fxiq,V-RU-LUP,[leit1fxiq] NUVB flux rescaled for vignetting
leph1mziq,V-RU-LUP,[leph1mziq] NUVB flux rescaled for vignetting
lepd1eniq,V-BP-TAU,[lepd1eniq] NUVB flux rescaled for vignetting
leit1ciqq,V-RU-LUP,[leit1ciqq] NUVB flux rescaled for vignetting
lepc1jieq,V-TW-HYA,[lepc1jieq] NUVB flux rescaled for vignetting
lejp1dsrq,V-BP-TAU,[lejp1dsrq] NUVB flux rescaled for vignetting
lek71hshq,V-GM-AUR,[lek71hshq] NUVB flux rescaled for vignetting
lepcagh8q,V-TW-HYA,[lepcagh8q] NUVB flux rescaled for vignetting
lejp1gagq,V-BP-TAU,[lejp1gagq] NUVB flux rescaled for vignetting
lepg1ld0q,V-GM-AUR,[lepg1ld0q] NUVB flux rescaled for vignetting
lepg1eleq,V-GM-AUR,[lepg1eleq] NUVB flux rescaled for vignetting
lepc1nikq,V-TW-HYA,[lepc1nikq] NUVB flux rescaled for vignetting
lek7anyuq,V-GM-AUR,[lek7anyuq] NUVB flux rescaled for vignetting
lepg1fvtq,V-GM-AUR,[lepg1fvtq] NUVB flux rescaled for vignetting
le9d1nsbq,V-TW-HYA,[le9d1nsbq] NUVB flux rescaled for vignetting
lejp1ja6q,V-BP-TAU,[lejp1ja6q] NUVB flux rescaled for vignetting
ob6bc2010,RECX-1,[ob6bc2010] Possible companion in slit
o5e308030,V-V410-TAU,[o5e308030] Possible companion in slit. 
o5e306030,V-DF-TAU,[o5e306030] extracted spectrum is of 2 blended sources
o5kc01010,V-DF-TAU,[o5kc01010] extracted spectrum is of 2 blended sources
o6cv01010,V-DF-TAU,[o6cv01010] extracted spectrum is of 2 blended sources
ocy810010,V-VW-CHA,[ocy810010] Nearby companion. Separate spectrum available
ocy810020,V-VW-CHA,[ocy810020] Nearby companion. Separate spectrum available
ocy810030,V-VW-CHA,[ocy810030] Nearby companion. Separate spectrum available
ocy810050,V-VW-CHA,[ocy810050] Nearby companion. Separate spectrum available
oe9j2s010,CVSO-165,[oe9j2s010] Nearby companion. Separate spectrum available
oe9j2s020,CVSO-165,[oe9j2s020] Nearby companion. Separate spectrum available
oe9j2s030,CVSO-165,[oe9j2s030] Nearby companion. Separate spectrum available
oe9k1s020,CVSO-104,[oe9k1s020] Nearby companion. Separate spectrum available
oe9k1s030,CVSO-104,[oe9k1s030] Nearby companion. Separate spectrum available
oe9k1s040,CVSO-104,[oe9k1s040] Nearby companion. Separate spectrum available
oe9k2s010,CVSO-109,[oe9k2s010] Nearby companion. Separate spectrum available
oe9k2s020,CVSO-109,[oe9k2s020] Nearby companion. Separate spectrum available
oe9k2s030,CVSO-109,[oe9k2s030] Nearby companion. Separate spectrum available
oe9k5s020,CVSO-36,[oe9k5s020] Nearby companion. Separate spectrum available
oe9k5s030,CVSO-36,[oe9k5s030] Nearby companion. Separate spectrum available
oeil1s020,2MASS-J11432669M7804454,[oeil1s020] Nearby companion. Separate spectrum available
oeil1s030,2MASS-J11432669M7804454,[oeil1s030] Nearby companion. Separate spectrum available
oepk1s010,RX-J0438P1546,[oepk1s010] Nearby companion. Separate spectrum available
oepk1s020,RX-J0438P1546,[oepk1s020] Nearby companion. Separate spectrum available
oepk1s030,RX-J0438P1546,[oepk1s030] Nearby companion. Separate spectrum available
oec62c010,VFTS-190,[oec62c010] High CR rate in extraction region
odk72a040,V-T-CHA,[odk72a040] High CR rate in extraction region
odk72a020,V-T-CHA,[odk72a020] High CR rate in extraction region
odk73a020,V-T-CHA,[odk73a020] High CR rate in extraction region
oec63v010,SK-66D50,[oec63v010] High CR rate in extraction region
obic02010,V-DG-TAU,[obic02010] High CR rate in extraction region
oc0n02010,V-DG-TAU,[oc0n02010] High CR rate in extraction region
oec612010,AV-61,[oec612010] High CR rate in extraction region
oec63w010,SK-67D207,[oec63w010] High CR rate in extraction region
o5e304030,V-T-TAU,[o5e304030] High CR rate in extraction region
ody241010,2DFS-2553,[ody241010] Removed DQ=2048 from lowest echelle order
oetn1s010,2DFS-3780,[oetn1s010] Removed DQ=2048 from lowest echelle order
oetn1s020,2DFS-3780,[oetn1s020] Removed DQ=2048 from lowest echelle order
oetn1s030,2DFS-3780,[oetn1s030] Removed DQ=2048 from lowest echelle order
o6df02030,AV-104,[o6df02030] Removed DQ=2048 from lowest echelle order
ody239010,AV-14,[ody239010] Removed DQ=2048 from lowest echelle order
od9a13010,AV-16,[od9a13010] Removed DQ=2048 from lowest echelle order
o4wr19010,AV-170,[o4wr19010] Removed DQ=2048 from lowest echelle order
o4wr19020,AV-170,[o4wr19020] Removed DQ=2048 from lowest echelle order
o6df06030,AV-18,[o6df06030] Removed DQ=2048 from lowest echelle order
o6df07030,AV-18,[o6df07030] Removed DQ=2048 from lowest echelle order
oemuas010,AV-200,[oemuas010] Removed DQ=2048 from lowest echelle order
o6df04030,AV-210,[o6df04030] Removed DQ=2048 from lowest echelle order
o6df05020,AV-210,[o6df05020] Removed DQ=2048 from lowest echelle order
o6df01030,AV-215,[o6df01030] Removed DQ=2048 from lowest echelle order
o6df14020,AV-216,[o6df14020] Removed DQ=2048 from lowest echelle order
o6df14030,AV-216,[o6df14030] Removed DQ=2048 from lowest echelle order
o6df15020,AV-216,[o6df15020] Removed DQ=2048 from lowest echelle order
o6df15030,AV-216,[o6df15030] Removed DQ=2048 from lowest echelle order
o6df09030,AV-22,[o6df09030] Removed DQ=2048 from lowest echelle order
o6df10030,AV-22,[o6df10030] Removed DQ=2048 from lowest echelle order
o6lz03010,AV-232,[o6lz03010] Removed DQ=2048 from lowest echelle order
oe9f1s020,AV-235,[oe9f1s020] Removed DQ=2048 from lowest echelle order
of2c1t010,AV-238,[of2c1t010] Removed DQ=2048 from lowest echelle order
of2c1t020,AV-238,[of2c1t020] Removed DQ=2048 from lowest echelle order
of2c1t030,AV-238,[of2c1t030] Removed DQ=2048 from lowest echelle order
ockp08030,AV-242,[ockp08030] Removed DQ=2048 from lowest echelle order
ockp08040,AV-242,[ockp08040] Removed DQ=2048 from lowest echelle order
ody237010,AV-258,[ody237010] Removed DQ=2048 from lowest echelle order
oe4x10010,AV-26,[oe4x10010] Removed DQ=2048 from lowest echelle order
oejvbs010,AV-264,[oejvbs010] Removed DQ=2048 from lowest echelle order
oejvbs020,AV-264,[oejvbs020] Removed DQ=2048 from lowest echelle order
oe9f2s010,AV-266,[oe9f2s010] Removed DQ=2048 from lowest echelle order
oe9f2s020,AV-266,[oe9f2s020] Removed DQ=2048 from lowest echelle order
oe9f2t010,AV-266,[oe9f2t010] Removed DQ=2048 from lowest echelle order
ody236010,AV-287,[ody236010] Removed DQ=2048 from lowest echelle order
ody240010,AV-296,[ody240010] Removed DQ=2048 from lowest echelle order
oemubs010,AV-314,[oemubs010] Removed DQ=2048 from lowest echelle order
oe4x15010,AV-317,[oe4x15010] Removed DQ=2048 from lowest echelle order
ockp10010,AV-321,[ockp10010] Removed DQ=2048 from lowest echelle order
oe9p3s010,AV-324,[oe9p3s010] Removed DQ=2048 from lowest echelle order
o4wr30010,AV-327,[o4wr30010] Removed DQ=2048 from lowest echelle order
o4wr30020,AV-327,[o4wr30020] Removed DQ=2048 from lowest echelle order
oe9e1s010,AV-332,[oe9e1s010] Removed DQ=2048 from lowest echelle order
oemucs010,AV-343,[oemucs010] Removed DQ=2048 from lowest echelle order
o6df08030,AV-362,[o6df08030] Removed DQ=2048 from lowest echelle order
oe9f3s020,AV-372,[oe9f3s020] Removed DQ=2048 from lowest echelle order
oe9f3s030,AV-372,[oe9f3s030] Removed DQ=2048 from lowest echelle order
ockp12010,AV-388,[ockp12010] Removed DQ=2048 from lowest echelle order
ody229010,AV-39A,[ody229010] Removed DQ=2048 from lowest echelle order
oetn2s010,AV-410,[oetn2s010] Removed DQ=2048 from lowest echelle order
oetn2s020,AV-410,[oetn2s020] Removed DQ=2048 from lowest echelle order
oetn2t010,AV-410,[oetn2t010] Removed DQ=2048 from lowest echelle order
oetn2t020,AV-410,[oetn2t020] Removed DQ=2048 from lowest echelle order
o4wr18010,AV-423,[o4wr18010] Removed DQ=2048 from lowest echelle order
o4wr18020,AV-423,[o4wr18020] Removed DQ=2048 from lowest echelle order
oemu4s010,AV-445,[oemu4s010] Removed DQ=2048 from lowest echelle order
ody235010,AV-454,[ody235010] Removed DQ=2048 from lowest echelle order
oe4x14010,AV-469,[oe4x14010] Removed DQ=2048 from lowest echelle order
oe4x03010,AV-476,[oe4x03010] Removed DQ=2048 from lowest echelle order
oe9f4s020,AV-488,[oe9f4s020] Removed DQ=2048 from lowest echelle order
oe9f4s030,AV-488,[oe9f4s030] Removed DQ=2048 from lowest echelle order
o67t01010,AV-490,[o67t01010] Removed DQ=2048 from lowest echelle order
o67t01020,AV-490,[o67t01020] Removed DQ=2048 from lowest echelle order
o67t02010,AV-490,[o67t02010] Removed DQ=2048 from lowest echelle order
o67t02020,AV-490,[o67t02020] Removed DQ=2048 from lowest echelle order
o67t03010,AV-490,[o67t03010] Removed DQ=2048 from lowest echelle order
o67t03020,AV-490,[o67t03020] Removed DQ=2048 from lowest echelle order
o67t04010,AV-490,[o67t04010] Removed DQ=2048 from lowest echelle order
o67t04020,AV-490,[o67t04020] Removed DQ=2048 from lowest echelle order
o67t05010,AV-490,[o67t05010] Removed DQ=2048 from lowest echelle order
o67t05020,AV-490,[o67t05020] Removed DQ=2048 from lowest echelle order
o67t06010,AV-490,[o67t06010] Removed DQ=2048 from lowest echelle order
o67t06020,AV-490,[o67t06020] Removed DQ=2048 from lowest echelle order
o67t07010,AV-490,[o67t07010] Removed DQ=2048 from lowest echelle order
o67t07020,AV-490,[o67t07020] Removed DQ=2048 from lowest echelle order
o67t08010,AV-490,[o67t08010] Removed DQ=2048 from lowest echelle order
o67t08020,AV-490,[o67t08020] Removed DQ=2048 from lowest echelle order
o67t53010,AV-490,[o67t53010] Removed DQ=2048 from lowest echelle order
o67t53020,AV-490,[o67t53020] Removed DQ=2048 from lowest echelle order
o67t54010,AV-490,[o67t54010] Removed DQ=2048 from lowest echelle order
o67t54020,AV-490,[o67t54020] Removed DQ=2048 from lowest echelle order
of2c2s010,AV-506,[of2c2s010] Removed DQ=2048 from lowest echelle order
of2c2s020,AV-506,[of2c2s020] Removed DQ=2048 from lowest echelle order
of2c2s030,AV-506,[of2c2s030] Removed DQ=2048 from lowest echelle order
of2c2t010,AV-506,[of2c2t010] Removed DQ=2048 from lowest echelle order
of2c2t020,AV-506,[of2c2t020] Removed DQ=2048 from lowest echelle order
ody234010,AV-61,[ody234010] Removed DQ=2048 from lowest echelle order
oe4x17010,AV-70,[oe4x17010] Removed DQ=2048 from lowest echelle order
oe9f5s020,AV-70,[oe9f5s020] Removed DQ=2048 from lowest echelle order
ockp04030,AV-78,[ockp04030] Removed DQ=2048 from lowest echelle order
ody230010,AV-81,[ody230010] Removed DQ=2048 from lowest echelle order
oejvcs010,AV-85,[oejvcs010] Removed DQ=2048 from lowest echelle order
oejvcs020,AV-85,[oejvcs020] Removed DQ=2048 from lowest echelle order
oejvcs030,AV-85,[oejvcs030] Removed DQ=2048 from lowest echelle order
oejvct010,AV-85,[oejvct010] Removed DQ=2048 from lowest echelle order
oejvct020,AV-85,[oejvct020] Removed DQ=2048 from lowest echelle order
oejv4s020,AV-96,[oejv4s020] Removed DQ=2048 from lowest echelle order
oejv4s030,AV-96,[oejv4s030] Removed DQ=2048 from lowest echelle order
oejv4t020,AV-96,[oejv4t020] Removed DQ=2048 from lowest echelle order
oeb71s010,BAT99-105,[oeb71s010] Removed DQ=2048 from lowest echelle order
oeb71s020,BAT99-105,[oeb71s020] Removed DQ=2048 from lowest echelle order
oeb71t010,BAT99-105,[oeb71t010] Removed DQ=2048 from lowest echelle order
oeb71t020,BAT99-105,[oeb71t020] Removed DQ=2048 from lowest echelle order
oeuf1s010,BI-13,[oeuf1s010] Removed DQ=2048 from lowest echelle order
oeuf1s020,BI-13,[oeuf1s020] Removed DQ=2048 from lowest echelle order
oeuf1s030,BI-13,[oeuf1s030] Removed DQ=2048 from lowest echelle order
oda914040,BI-173,[oda914040] Removed DQ=2048 from lowest echelle order
oda914050,BI-173,[oda914050] Removed DQ=2048 from lowest echelle order
od7m04010,BI-214,[od7m04010] Removed DQ=2048 from lowest echelle order
od7m04020,BI-214,[od7m04020] Removed DQ=2048 from lowest echelle order
od7m04030,BI-214,[od7m04030] Removed DQ=2048 from lowest echelle order
oe9s1s010,BI-272,[oe9s1s010] Removed DQ=2048 from lowest echelle order
oe9s1s020,BI-272,[oe9s1s020] Removed DQ=2048 from lowest echelle order
oe9s1s030,BI-272,[oe9s1s030] Removed DQ=2048 from lowest echelle order
oec121010,BAT99-127,[oec121010] Removed DQ=2048 from lowest echelle order
ob6b25050,HD-104237,[ob6b25050] Removed DQ=2048 from lowest echelle order
oc2h04020,HD-141569,[oc2h04020] Removed DQ=2048 from lowest echelle order
oc2h04030,HD-141569,[oc2h04030] Removed DQ=2048 from lowest echelle order
oc2h03020,HD-142666,[oc2h03020] Removed DQ=2048 from lowest echelle order
oc2h03030,HD-142666,[oc2h03030] Removed DQ=2048 from lowest echelle order
o4xn05040,HD-163296,[o4xn05040] Removed DQ=2048 from lowest echelle order
o66q01020,HD-163296,[o66q01020] Removed DQ=2048 from lowest echelle order
oc2h02020,HD-169142,[oc2h02020] Removed DQ=2048 from lowest echelle order
oc2h02030,HD-169142,[oc2h02030] Removed DQ=2048 from lowest echelle order
oejg1s010,HD-269927C,[oejg1s010] Removed DQ=2048 from lowest echelle order
oejg1s020,HD-269927C,[oejg1s020] Removed DQ=2048 from lowest echelle order
oec103010,BAT99-10,[oec103010] Removed DQ=2048 from lowest echelle order
o6cd01010,HD-5980,[o6cd01010] Removed DQ=2048 from lowest echelle order
o6cd01030,HD-5980,[o6cd01030] Removed DQ=2048 from lowest echelle order
oeb72s010,LH-114-7,[oeb72s010] Removed DQ=2048 from lowest echelle order
oeb72s020,LH-114-7,[oeb72s020] Removed DQ=2048 from lowest echelle order
of2v1s010,LH-58-496,[of2v1s010] Removed DQ=2048 from lowest echelle order
of2v1s020,LH-58-496,[of2v1s020] Removed DQ=2048 from lowest echelle order
of2v1s030,LH-58-496,[of2v1s030] Removed DQ=2048 from lowest echelle order
o49wa1010,LMCX-4,[o49wa1010] Removed DQ=2048 from lowest echelle order
o49wa2010,LMCX-4,[o49wa2010] Removed DQ=2048 from lowest echelle order
o49wa3010,LMCX-4,[o49wa3010] Removed DQ=2048 from lowest echelle order
o49wa4010,LMCX-4,[o49wa4010] Removed DQ=2048 from lowest echelle order
o49wa5010,LMCX-4,[o49wa5010] Removed DQ=2048 from lowest echelle order
oe4x08010,MOA-J010321M720538,[oe4x08010] Removed DQ=2048 from lowest echelle order
oda973010,N11-ELS-013,[oda973010] Removed DQ=2048 from lowest echelle order
oda973020,N11-ELS-013,[oda973020] Removed DQ=2048 from lowest echelle order
oda973030,N11-ELS-013,[oda973030] Removed DQ=2048 from lowest echelle order
od7m05010,N11-ELS-020,[od7m05010] Removed DQ=2048 from lowest echelle order
od7m05020,N11-ELS-020,[od7m05020] Removed DQ=2048 from lowest echelle order
of2l1s010,N11-ELS-026,[of2l1s010] Removed DQ=2048 from lowest echelle order
of2l1s020,N11-ELS-026,[of2l1s020] Removed DQ=2048 from lowest echelle order
of1o1s010,N11-ELS-046,[of1o1s010] Removed DQ=2048 from lowest echelle order
of1o1s020,N11-ELS-046,[of1o1s020] Removed DQ=2048 from lowest echelle order
of1o1s030,N11-ELS-046,[of1o1s030] Removed DQ=2048 from lowest echelle order
of1n1s010,N11-ELS-048,[of1n1s010] Removed DQ=2048 from lowest echelle order
of1n1s020,N11-ELS-048,[of1n1s020] Removed DQ=2048 from lowest echelle order
of1n1s030,N11-ELS-048,[of1n1s030] Removed DQ=2048 from lowest echelle order
of1n1t010,N11-ELS-048,[of1n1t010] Removed DQ=2048 from lowest echelle order
of1n1t020,N11-ELS-048,[of1n1t020] Removed DQ=2048 from lowest echelle order
of1o2s010,N11-ELS-049,[of1o2s010] Removed DQ=2048 from lowest echelle order
of1o2s020,N11-ELS-049,[of1o2s020] Removed DQ=2048 from lowest echelle order
of1o2s030,N11-ELS-049,[of1o2s030] Removed DQ=2048 from lowest echelle order
oef11s030,NGC2004-ELS-003,[oef11s030] Removed DQ=2048 from lowest echelle order
o6df23020,NGC330-ELS-002,[o6df23020] Removed DQ=2048 from lowest echelle order
o6df23030,NGC330-ELS-002,[o6df23030] Removed DQ=2048 from lowest echelle order
o6df24020,NGC330-ELS-002,[o6df24020] Removed DQ=2048 from lowest echelle order
o6df24030,NGC330-ELS-002,[o6df24030] Removed DQ=2048 from lowest echelle order
o6df20020,NGC330-ELS-004,[o6df20020] Removed DQ=2048 from lowest echelle order
o6df20030,NGC330-ELS-004,[o6df20030] Removed DQ=2048 from lowest echelle order
o6df21020,NGC330-ELS-004,[o6df21020] Removed DQ=2048 from lowest echelle order
o6df21030,NGC330-ELS-004,[o6df21030] Removed DQ=2048 from lowest echelle order
o6df12020,NGC330-ROB-A1,[o6df12020] Removed DQ=2048 from lowest echelle order
o6df12030,NGC330-ROB-A1,[o6df12030] Removed DQ=2048 from lowest echelle order
o6df13020,NGC330-ROB-A1,[o6df13020] Removed DQ=2048 from lowest echelle order
o6df13030,NGC330-ROB-A1,[o6df13030] Removed DQ=2048 from lowest echelle order
o6df18010,NGC330-ROB-B22,[o6df18010] Removed DQ=2048 from lowest echelle order
o6df18020,NGC330-ROB-B22,[o6df18020] Removed DQ=2048 from lowest echelle order
o6df19010,NGC330-ROB-B22,[o6df19010] Removed DQ=2048 from lowest echelle order
o6df19020,NGC330-ROB-B22,[o6df19020] Removed DQ=2048 from lowest echelle order
o4wr01020,NGC346-ELS-007,[o4wr01020] Removed DQ=2048 from lowest echelle order
o4wr21010,NGC346-ELS-026,[o4wr21010] Removed DQ=2048 from lowest echelle order
o4wr02010,NGC346-ELS-028,[o4wr02010] Removed DQ=2048 from lowest echelle order
oe4x18010,NGC346-MPG-342,[oe4x18010] Removed DQ=2048 from lowest echelle order
o4wr01010,NGC346-MPG-355,[o4wr01010] Removed DQ=2048 from lowest echelle order
oe9e2s010,NGC346-MPG-355,[oe9e2s010] Removed DQ=2048 from lowest echelle order
oe9e2s020,NGC346-MPG-355,[oe9e2s020] Removed DQ=2048 from lowest echelle order
o4wr24010,NGC346-MPG-356,[o4wr24010] Removed DQ=2048 from lowest echelle order
o4wr01030,NGC346-MPG-368,[o4wr01030] Removed DQ=2048 from lowest echelle order
oeuaas010,NGC346-MPG-435,[oeuaas010] Removed DQ=2048 from lowest echelle order
o4wr23010,NGC346-MPG-487,[o4wr23010] Removed DQ=2048 from lowest echelle order
oe4x04010,NGC346-MPG-602,[oe4x04010] Removed DQ=2048 from lowest echelle order
oe9sbs010,PGMW-1363,[oe9sbs010] Removed DQ=2048 from lowest echelle order
oe9sbs030,PGMW-1363,[oe9sbs030] Removed DQ=2048 from lowest echelle order
