PID,group,target,stis_assignee,cos_assignee,prim_assignee,sec_assignee,prim_ins,sec_ins,cos_int_reviewer,stis_int_reviewer,wfc3_int_reviewer,cs
16857,,Sz114,duval,duval,duval,,COS,STIS,ahirschauer,ahirschauer,,
16858,,Sz104,proffitt,proffitt,proffitt,,COS,STIS,rplesha,rplesha,,
16858,,Sz100,proffitt,proffitt,proffitt,,COS,STIS,rplesha,rplesha,,
16859,,RXJ1842.9-3532,,,,,COS,STIS,,,,
16859,,RXJ1852.3-3700,,,,,COS,STIS,,,,
16802,,AV296,,rsankrit,rsankrit,,COS,,,,,
16802,,AV435,,rsankrit,rsankrit,,COS,,,,,
16803,,2DFS-2553,,rplesha,rplesha,,COS,,,,,
16805,,NGC346-MPG-435,lsmith,,,lsmith,STIS,,,,,
16806,,AV255,lsmith,,,lsmith,STIS,,,,,
16807,,AV238,lsmith,,,lsmith,STIS,,,,,
16807,,AV506,lsmith,,,lsmith,STIS,,,,,
16808,,SK183,tmonroe,rsankrit,rsankrit,tmonroe,COS,STIS,,,,
16809,,AV410,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
16809,,2DFS-3780,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
16809,,SK187,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
16810,,VFTS-169,,rsankrit,rsankrit,,COS,,,,,
16810,,VFTS-506,,rsankrit,rsankrit,,COS,,,,,
16811,,N11-ELS-31,,fuller,fuller,,COS,,,,,
16811,,N11-ELS-26,,fuller,fuller,,COS,,,,,
16811,,SK-68D137,,fuller,fuller,,COS,,,,,
16812,,VFTS-542,,sahnow,sahnow,,COS,,,,,
16812,,VFTS-545,,sahnow,sahnow,,COS,,,,,
16813,,MCPS083.91120-69.69685,,fuller,fuller,,COS,,,,,
16813,,SK-68D133,,fuller,fuller,,COS,,,,,
16813,,VFTS180,,fuller,fuller,,COS,,,,,
16814,,SK-71D45,,rsankrit,rsankrit,,COS,,,,,
16814,,VFTS-355,,rsankrit,rsankrit,,COS,,,,,
16814,,VFTS-586,,rsankrit,rsankrit,,COS,,,,,
16815,,N11-ELS-48,,sahnow,sahnow,,COS,,,,,
16815,,VFTS-406,,sahnow,sahnow,,COS,,,,,
16816,,SK-69D212,,fuller,fuller,,COS,,,,,
16816,,VFTS-244,,fuller,fuller,,COS,,,,,
16816,,BI265,,fuller,fuller,,COS,,,,,
16817,,N11-ELS-20,,rplesha,rplesha,,COS,,,,,
16818,,N11-ELS-32,,sahnow,sahnow,,COS,,,,,
16818,,BI189,,sahnow,sahnow,,COS,,,,,
16818,,VFTS-190,,sahnow,sahnow,,COS,,,,,
16819,,SK-66D17,,duval,duval,,COS,,,,,
16819,,SK-68D23A,,duval,duval,,COS,,,,,
16819,,SK-71D35,,duval,duval,,COS,,,,,
16819,,SK-69D178,,duval,duval,,COS,,,,,
16820,,BI13,dwelty,,,dwelty,STIS,,,,,
16820,,SK-66D18,dwelty,,,dwelty,STIS,,,,,
16820,,PGMW-3070,dwelty,,,dwelty,STIS,,,,,
16820,,SK-70D69,dwelty,,,dwelty,STIS,,,,,
16821,,SK-66D100,lsmith,,,lsmith,STIS,,,,,
16822,,N11-ELS-51,lsmith,sahnow,sahnow,lsmith,COS,STIS,,,,
16822,,LH58-496,lsmith,sahnow,sahnow,lsmith,COS,STIS,,,,
16823,,SK-67D261,tmonroe,fuller,fuller,tmonroe,COS,STIS,,,,
16824,,N11-ELS-49,tmonroe,fuller,fuller,tmonroe,COS,STIS,,,,
16824,,N11-ELS-46,tmonroe,fuller,fuller,tmonroe,COS,STIS,,,,
16825,,SK-69D83,dwelty,fuller,fuller,dwelty,COS,STIS,,,,
16825,,SK-66D152,dwelty,fuller,fuller,dwelty,COS,STIS,,,,
16826,,SK-69D52,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
16826,,SK-70D50,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
16826,,SK-67D78,dwelty,rsankrit,rsankrit,dwelty,COS,STIS,,,,
