target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
AV 61,AzV 61,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+61,Mid O Giant,Gaia DR2 4689052849220827008,12.507784287231017,-72.190724793041355,2015.5,SMC,None,O6 III((f))e_1_,2016ApJ...817..113L,O,6.0,III,12.31,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.54,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,,None,,None,,None,,None,,None,228.0,2009ApJ...700..844P,2025.0,1998MNRAS.300..828P,,None,False,None
AV 69,AzV 69,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+69,Mid O Giant,Gaia DR2 4688960043574823296,12.571705257134267,-72.891744280238271,2015.5,SMC,None,OC7.5 III((f)),2000PASP..112.1243W,O,7.5,III,12.09,2002ApJS..141...81M,13.09,2002ApJS..141...81M,13.27,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,2021A&A...647A.134B,33900.0,2021A&A...647A.134B,3.50,2021A&A...647A.134B,5.61,2021A&A...647A.134B,18.60,"Derived from L,Teff",39.7,2021A&A...647A.134B,70.0,2021A&A...647A.134B,1800.0,2021A&A...647A.134B,9.80e-07,2021A&A...647A.134B,False,None
AV 70,AzV 70,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+70,Late O Supergiant,Gaia DR2 4688978838354989184,12.575521793834543,-72.636126679129163,2015.5,SMC,None,O9.5 Ibw,2002ApJS..141..443W,O,9.5,I,11.27,1975A&AS...22..285A,12.21,1975A&AS...22..285A,12.38,1975A&AS...22..285A,-0.26,2006A&A...457..637M,0.09,Derived from (B-V)0,28500.0,2004ApJ...610.1021E,3.10,2004ApJ...610.1021E,5.68,2004ApJ...610.1021E,28.40,2004ApJ...610.1021E,,None,100.0,2004ApJ...610.1021E,1450.0,2004ApJ...610.1021E,1.50e-06,2004ApJ...610.1021E,False,None
AV 75,AzV 75,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+75,Mid O Giant,Gaia DR2 4688960073598936960,12.635031811235400,-72.876794635262939,2015.5,SMC,None,O5 III(f+),2000PASP..112.1243W,O,5.0,III,11.55,2002ApJS..141...81M,12.55,2002ApJS..141...81M,12.70,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.14,2021A&A...647A.134B,38500.0,2021A&A...647A.134B,3.51,2021A&A...647A.134B,5.94,2021A&A...647A.134B,21.00,"Derived from L,Teff",51.1,2021A&A...647A.134B,120.0,2021A&A...647A.134B,2050.0,2021A&A...647A.134B,1.60e-06,2021A&A...647A.134B,False,None
AV 81,SK 41,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+41,Mid WN Star,Gaia DR2 4685879040157034624,12.680948521069345,-73.451620400160422,2015.5,SMC,None,WN6h,2003MNRAS.338..360F,WN,6.0,none,12.36,2002ApJS..141...81M,13.25,2002ApJS..141...81M,13.37,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,45000.0,2015A&A...581A..21H,,None,5.78,2015A&A...581A..21H,13.00,2015A&A...581A..21H,38.0,2015A&A...581A..21H,,None,1000.0,2015A&A...581A..21H,6.60e-06,2015A&A...581A..21H,False,None
AV 80,AzV 80,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+80,Mid O Giant,Gaia DR2 4688964334254663168,12.682564106118260,-72.794881440949979,2015.5,SMC,None,O4-6n(f)p,2000PASP..112.1243W,O,4.0,none,12.22,2002ApJS..141...81M,13.19,2002ApJS..141...81M,13.32,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.15,Derived from (B-V)0,38000.0,2006ApJ...638..409H,3.50,2006ApJ...638..409H,,None,,None,,None,325.0,2006ApJ...638..409H,1550.0,2004ApJ...607..451E,,None,False,None
AV 83,AzV 83,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+83,Mid O Supergiant,Gaia DR2 4688966125248119808,12.716681447236731,-72.704155543704658,2015.5,SMC,None,O7 Iaf+,2000PASP..112.1243W,O,7.0,I,,None,13.45,2000PASP..112.1243W,13.58,2000PASP..112.1243W,-0.27,2006A&A...457..637M,0.13,2021A&A...647A.134B,32800.0,2021A&A...647A.134B,3.26,2021A&A...647A.134B,5.54,2021A&A...647A.134B,18.30,"Derived from L,Teff",22.1,2021A&A...647A.134B,80.0,2021A&A...647A.134B,940.0,2021A&A...647A.134B,2.30e-06,2021A&A...647A.134B,False,None
AV 85,AzV 85,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+85,Early B Bright Giant,Gaia DR2 4688959940495161600,12.750777750134450,-72.884523556641156,2015.5,SMC,None,B1 II-IIIe,2006A&A...457..949M,B,1.0,II,12.69,1982A&AS...50..291A,13.68,1982A&AS...50..291A,13.75,1982A&AS...50..291A,-0.24,1970A&A.....4..234F,0.17,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,False,None
AV 95,AzV 95,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+95,Mid O Giant,Gaia DR2 4688965060095843072,12.840010390769377,-72.737470490163190,2015.5,SMC,None,O7 III((f)),2000PASP..112.1243W,O,7.0,III,12.57,2002ApJS..141...81M,13.60,2002ApJS..141...81M,13.78,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,38200.0,2006A&A...456.1131M,3.66,2006A&A...456.1131M,5.56,2006A&A...456.1131M,13.80,2006A&A...456.1131M,39.3,2006A&A...456.1131M,68.0,2006A&A...456.1131M,1700.0,2004ApJ...607..451E,3.60e-07,2006A&A...456.1131M,False,None
AV 96,AzV 96,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+96,Early B Supergiant,Gaia DR2 4689054945164735616,12.846456704537117,-72.122482461813519,2015.5,SMC,None,B1.5 Ia,1997A&A...317..871L,B,1.5,I,11.54,2002ApJS..141...81M,12.49,2002ApJS..141...81M,12.59,2002ApJS..141...81M,-0.18,1970A&A.....4..234F,0.08,Derived from (B-V)0,22000.0,2005A&A...434..677T,2.55,2005A&A...434..677T,5.39,2005A&A...434..677T,34.00,2005A&A...434..677T,27.0,2005A&A...434..677T,90.0,2005A&A...434..677T,850.0,2005A&A...434..677T,2.40e-07,2005A&A...434..677T,False,None
AV 104,AzV 104,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+104,Early B Supergiant,Gaia DR2 4688961516740580224,12.910127176499225,-72.801694664945614,2015.5,SMC,None,B0.5 Ia,1997A&A...317..871L,B,0.5,I,12.05,2002ApJS..141...81M,13.01,2002ApJS..141...81M,13.17,2002ApJS..141...81M,-0.22,1970A&A.....4..234F,0.06,Derived from (B-V)0,27500.0,2004A&A...417..217T,3.10,2004A&A...417..217T,5.31,2004A&A...417..217T,20.00,2004A&A...417..217T,26.0,2004A&A...417..217T,80.0,2004A&A...417..217T,1340.0,2004A&A...417..217T,4.00e-07,2004A&A...417..217T,False,None
AV 148,AzV 148,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+148,Late O Dwarf,Gaia DR2 4688986431859207296,13.425978494178723,-72.709805343935344,2015.5,SMC,None,O8.5 V,1995ApJ...438..188M,O,8.5,V,12.92,2002ApJS..141...81M,13.92,2002ApJS..141...81M,14.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,32300.0,2013A&A...555A...1B,4.00,2013A&A...555A...1B,4.84,2013A&A...555A...1B,8.40,"Derived from L,Teff",19.0,2013A&A...555A...1B,60.0,2013A&A...555A...1B,1540.0,2013A&A...555A...1B,2.00e-09,2013A&A...555A...1B,False,None
2dFS 999,SMC AB 9,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SMC+AB+9,Early WN Star,Gaia DR2 4685983940501730944,13.633992473902094,-72.743245803649842,2015.5,SMC,None,WN3 ha,2003MNRAS.338..360F,WN,3.0,none,14.13,2002ApJS..141...81M,15.12,2002ApJS..141...81M,15.24,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,100000.0,2015A&A...581A..21H,,None,6.05,2015A&A...581A..21H,3.50,2015A&A...581A..21H,,None,,None,1800.0,2015A&A...581A..21H,2.20e-06,2015A&A...581A..21H,False,None
NGC330 ELS 4,CL* NGC 330 ELS 4,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+4,Early B Supergiant,Gaia DR2 4688993475604579840,14.086700041746786,-72.476154092584196,2015.5,SMC,NGC 330,B2.5 Ib,2006A&A...456..623E,B,2.5,I,,None,13.26,2006A&A...456..623E,13.33,2006A&A...456..623E,-0.15,1970A&A.....4..234F,0.08,Derived from (B-V)0,17000.0,2007A&A...471..625T,2.30,2007A&A...471..625T,4.77,2007A&A...471..625T,28.00,"Derived from L,Teff",15.0,2007A&A...471..625T,41.0,2007A&A...471..625T,,None,,None,False,None
NGC330 ELS 2,CL* NGC 330 ELS 2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+2,Early B Supergiant,Gaia DR2 4688993475604539520,14.103606357619340,-72.461652878041519,2015.5,SMC,NGC 330,B3 Ib,2006A&A...456..623E,B,3.0,I,12.07,2002ApJS..141...81M,12.80,2002ApJS..141...81M,12.87,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.06,Derived from (B-V)0,14590.0,2007A&A...471..625T,2.15,2007A&A...471..625T,4.73,2007A&A...471..625T,36.30,"Derived from L,Teff",15.0,2007A&A...471..625T,14.0,2007A&A...471..625T,,None,,None,False,None
AV 175,AzV 175,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+175,Early B Bright Giant,Gaia DR2 4685986483121883776,14.158666817403560,-72.609805202005845,2015.5,SMC,None,B1 IIW,1987AJ.....93.1070G,B,1.0,II,12.61,2002ApJS..141...81M,13.45,2002ApJS..141...81M,13.53,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.16,Derived from (B-V)0,,None,,None,,None,,None,,None,51.0,2009ApJ...700..844P,,None,,None,False,None
AV 177,AzV 177,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+177,Early O Dwarf,Gaia DR2 4689067108514288768,14.183774384201909,-72.058805316336418,2015.5,SMC,None,O4 V((f)),2005ApJ...627..477M,O,4.0,V,13.27,2002ApJS..141...81M,14.32,2002ApJS..141...81M,14.53,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.07,Derived from (B-V)0,44500.0,2013A&A...555A...1B,4.03,2013A&A...555A...1B,5.43,2013A&A...555A...1B,8.70,"Derived from L,Teff",38.8,2013A&A...555A...1B,220.0,2013A&A...555A...1B,2400.0,2013A&A...555A...1B,1.40e-07,2013A&A...555A...1B,False,None
AV 186,Cl* NGC 330 ELS 013,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+330+ELS+013,Late O Giant,Gaia DR2 4685992530438263808,14.362253885125734,-72.553771991978991,2015.5,SMC,NGC 330,O8.5 III((f)),2016ApJ...817..113L,O,8.5,III,12.75,2002ApJS..141...81M,13.77,2002ApJS..141...81M,13.98,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.06,Derived from (B-V)0,34500.0,2006A&A...456.1131M,3.40,2006A&A...456.1131M,5.40,2006A&A...456.1131M,14.10,2006A&A...456.1131M,32.2,2006A&A...456.1131M,73.0,2006A&A...456.1131M,1600.0,2006A&A...456.1131M,3.00e-07,2006A&A...456.1131M,False,None
AV 187,AzV 187,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+187,Early B Supergiant,Gaia DR2 4690800076238941056,14.382220593635163,-71.333135774976952,2015.5,SMC,None,B3 Ia,1997A&A...317..871L,B,3.0,I,11.21,1977A&AS...30..261A,11.96,1977A&AS...30..261A,12.06,1977A&AS...30..261A,-0.13,1970A&A.....4..234F,0.03,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,False,None
AV 189,AzV 189,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+189,Early B Subgiant,Gaia DR2 4688995777709724800,14.385486489934278,-72.480875974734460,2015.5,SMC,None,O9 V,1995ApJ...438..188M,O,9.0,V,13.32,2002ApJS..141...81M,14.26,2002ApJS..141...81M,14.37,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.16,Derived from (B-V)0,32300.0,2013A&A...555A...1B,4.03,2013A&A...555A...1B,4.81,2013A&A...555A...1B,8.10,"Derived from L,Teff",18.8,2013A&A...555A...1B,150.0,2013A&A...555A...1B,1250.0,2013A&A...555A...1B,6.00e-10,2013A&A...555A...1B,False,None
AV 200,AzV 200,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+200,Late B Supergiant,Gaia DR2 4685988338550464896,14.532950174712941,-72.641807858311125,2015.5,SMC,None,B8 Ia,1997A&A...317..871L,B,8.0,I,11.72,1977A&AS...30..261A,12.24,1977A&AS...30..261A,12.17,1977A&AS...30..261A,-0.01,1970A&A.....4..234F,0.08,Derived from (B-V)0,12100.0,2014ApJ...785..151H,1.71,2014ApJ...785..151H,,None,,None,,None,,None,,None,,None,False,None
NGC346 ELS 43,CL* NGC 346 ELS 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+43,Early B Dwarf,Gaia DR2 4689019245413731840,14.558137960976435,-72.155312328160988,2015.5,SMC,NGC 346,B0 V,2006A&A...456..623E,B,0.0,V,14.06,2002ApJS..141...81M,15.05,2002ApJS..141...81M,15.18,2002ApJS..141...81M,-0.30,1970A&A.....4..234F,0.17,Derived from (B-V)0,33000.0,2007A&A...466..277H,4.25,2007A&A...466..277H,4.71,2007A&A...466..277H,6.90,"Derived from L,Teff",18.0,2007A&A...466..277H,10.0,2007A&A...466..277H,,None,,None,False,None
NGC346 ELS 26,CL* NGC 346 ELS 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+26,Early B Subgiant,Gaia DR2 4689016221756858624,14.558701062567717,-72.178975321647926,2015.5,SMC,NGC 346,O9.5-B0 V (N str),2000PASP..112.1243W,O,9.5,V,13.77,2002ApJS..141...81M,14.68,2002ApJS..141...81M,14.76,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.18,Derived from (B-V)0,31000.0,2013A&A...555A...1B,3.65,2013A&A...555A...1B,4.93,2013A&A...555A...1B,10.10,"Derived from L,Teff",21.0,2013A&A...555A...1B,60.0,2013A&A...555A...1B,1250.0,2013A&A...555A...1B,5.00e-10,2013A&A...555A...1B,False,None
NGC346 ELS 28,Cl* NGC 346 ELS 028,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+028,Mid O Dwarf,Gaia DR2 4689016393555549440,14.632318155970321,-72.182773568365874,2015.5,SMC,NGC 346,OC6 Vz,2000PASP..112.1243W,O,6.0,V,13.56,2002ApJS..141...81M,14.62,2002ApJS..141...81M,14.78,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.12,Derived from (B-V)0,39600.0,2013A&A...555A...1B,4.00,2013A&A...555A...1B,5.15,2013A&A...555A...1B,8.00,"Derived from L,Teff",27.8,2013A&A...555A...1B,35.0,2013A&A...555A...1B,1250.0,2013A&A...555A...1B,3.00e-09,2013A&A...555A...1B,False,None
AV 207,AzV 207,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+207,Mid O Giant,Gaia DR2 4690570828074872576,14.638299304389738,-71.929649366930533,2015.5,SMC,None,O7 III((f)),2016ApJ...817..113L,O,7.0,III,12.99,2002ApJS..141...81M,14.05,2002ApJS..141...81M,14.25,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,37000.0,2004ApJ...608.1001M,3.70,2004ApJ...608.1001M,5.34,2004ApJ...608.1001M,11.00,2004ApJ...608.1001M,22.0,2004ApJ...608.1001M,75.0,2009ApJ...700..844P,,None,,None,False,None
AV 210,AzV 210,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+210,Early B Supergiant,Gaia DR2 4689003027613801216,14.649111646018969,-72.273621623945786,2015.5,SMC,None,B1.5 Ia,1997A&A...317..871L,B,1.5,I,11.73,2002ApJS..141...81M,12.58,2002ApJS..141...81M,12.60,2002ApJS..141...81M,-0.18,1970A&A.....4..234F,0.16,Derived from (B-V)0,20500.0,2004A&A...417..217T,2.40,2004A&A...417..217T,5.41,2004A&A...417..217T,40.00,2004A&A...417..217T,27.0,2004A&A...417..217T,65.0,2004A&A...417..217T,750.0,2004ApJ...607..451E,2.00e-07,2004A&A...417..217T,False,None
NGC346 ELS 50,Cl* NGC 346 ELS 050,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+050,Late O Dwarf,Gaia DR2 4689016530994364672,14.730095888767712,-72.151865309136781,2015.5,SMC,NGC 346,O8 Vn,2006A&A...456..623E,O,8.0,V,13.93,2002ApJS..141...81M,15.09,2002ApJS..141...81M,15.25,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,36300.0,2013A&A...555A...1B,4.25,2013A&A...555A...1B,4.64,2013A&A...555A...1B,5.30,"Derived from L,Teff",19.5,2013A&A...555A...1B,360.0,2013A&A...555A...1B,1540.0,2013A&A...555A...1B,3.00e-09,2013A&A...555A...1B,False,None
AV 215,AzV 215,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+215,Early B Supergiant,Gaia DR2 4685993320712086784,14.731783712792211,-72.535691229287991,2015.5,SMC,None,BN0 Ia,1997A&A...317..871L,B,0.0,I,11.64,2002ApJS..141...81M,12.60,2002ApJS..141...81M,12.69,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.15,Derived from (B-V)0,27000.0,2004A&A...417..217T,2.90,2004A&A...417..217T,5.63,2004A&A...417..217T,30.00,2004A&A...417..217T,39.0,2004A&A...417..217T,91.0,2004A&A...417..217T,1400.0,2004ApJ...607..451E,1.35e-06,2004A&A...417..217T,False,None
NGC346 ELS 7,CL* NGC 346 ELS 7,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+7,Early O Dwarf,Gaia DR2 4689015706360740096,14.739159769852442,-72.176022241677757,2015.5,SMC,NGC 346,O4 V((f)),1995PASP..107..104W,O,4.0,V,12.73,1989AJ.....98.1305M,13.78,1989AJ.....98.1305M,14.02,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.04,Derived from (B-V)0,42100.0,2013A&A...555A...1B,4.00,2013A&A...555A...1B,5.51,2013A&A...555A...1B,10.70,"Derived from L,Teff",40.0,2013A&A...555A...1B,70.0,2013A&A...555A...1B,2300.0,2013A&A...555A...1B,1.40e-07,2013A&A...555A...1B,False,None
NGC346 MPG 355,Cl* NGC 346 MPG 355,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+355,Early O Giant,Gaia DR2 4689015702019200896,14.753171225462120,-72.174497448960139,2015.5,SMC,NGC 346,ON2 III(f*),2004ApJ...608.1028W,O,2.0,III,12.15,1989AJ.....98.1305M,13.27,1989AJ.....98.1305M,13.50,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,51700.0,2013A&A...555A...1B,4.00,2013A&A...555A...1B,6.04,2013A&A...555A...1B,13.10,"Derived from L,Teff",70.0,2013A&A...555A...1B,120.0,2013A&A...555A...1B,2800.0,2013A&A...555A...1B,1.80e-07,2013A&A...555A...1B,False,None
NGC346 MPG 368,Cl* NGC 346 MPG 368,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+368,Mid O Dwarf,Gaia DR2 4689015706360700288,14.757586384647805,-72.175343321631317,2015.5,SMC,NGC 346,O6 V,2009ApJ...692..618M,O,6.0,V,12.87,1989AJ.....98.1305M,13.95,1989AJ.....98.1305M,14.18,1989AJ.....98.1305M,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,39300.0,2013A&A...555A...1B,3.75,2013A&A...555A...1B,5.38,2013A&A...555A...1B,10.60,"Derived from L,Teff",33.2,2013A&A...555A...1B,60.0,2013A&A...555A...1B,2100.0,2013A&A...555A...1B,3.70e-08,2013A&A...555A...1B,False,None
