#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T14:55:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e6ea9187225	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/353&tab:{I/353/gsc242}&key:source=I/353&HTTPPRM:&
#-c=237.509 -49.510
#-c.eq=J2000
#-c.r=  19
#-c.u=arcmin
#-c.geom=r
#-source=I/353/gsc242
#-order=I
#-out.orig=standard
#-out=GSC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=objID
#-out=Epoch
#-out=Class
#Class==0
#-out=Gmag
#-out=OMag
#-out=Bjmag
#-out=Fpgmag
#-out=Epgmag
#-out=Npgmag
#-out=Umag
#-out=Bmag
#-out=Vmag
#-out=umag
#umag=<15
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=ymag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Zmag
#-out=Ymag
#-out=W1mag
#-out=W2mag
#-out=W3mag
#-out=W4mag
#-out=FUVmag
#-out=NUVmag
#-out=a
#-out=e
#-out=PA
#
#INFO	-c=237.509000-49.510000,rm=19.	
#Constraint -bmark=POST

#RESOURCE=yCat_1353
#Name: I/353
#Title: The Guide Star Catalog, Version 2.4.2 (GSC2.4.2) (STScI, 2020)
#Coosys	H:	ICRS
#Table	I_353_gsc242:
#Name: I/353/gsc242
#Title: records of GSC 2.4.2
#Column	_r	(F7.4)	Distance from center (237.50900000000-49.51000000000)[ICRS], at Epoch of catalog (Epoch)	[ucd=pos.angDistance]
#Column	GSC2	(a10)	GSC2 Public ID (hstID)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Right Ascension (ICRS) at Ep=Epoch (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=Epoch (dec)	[ucd=pos.eq.dec;meta.main]
#Column	objID	(I15)	Database ID	[ucd=meta.id;meta.dataset]
#Column	Epoch	(F9.3)	Epoch of coordinate	[ucd=time.epoch]
#Column	Class	(I1)	[0/4]? Object classification code (classification) (1) [NULL integer written as an empty string]	[ucd=meta.code.class]
#Column	Gmag	(F9.6)	? Gaia G band magnitude (gaiaGmag)	[ucd=phot.mag;em.opt]
#Column	OMag	(F9.6)	? Photographic O band magnitude (OpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Bjmag	(F9.6)	? Photographic Blue magnitude (JpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Fpgmag	(F9.6)	? Photographic Red magnitude (FpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Epgmag	(F9.6)	? Photographic E band magnitude (EpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Npgmag	(F9.6)	? Photographic Near-IR magnitude (NpgMag)	[ucd=phot.mag;em.opt.I]
#Column	Umag	(F9.6)	? U band magnitude	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F9.6)	? B band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F9.6)	? V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	umag	(F6.3)	? SDSS u band magnitude (SDSSuMag)	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F7.3)	? SDSS g band magnitude (SDSSgMag)	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r band magnitude (SDSSrMag)	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i band magnitude (SDSSiMag)	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z band magnitude (SDSSzMag)	[ucd=phot.mag;em.opt.I]
#Column	ymag	(F7.4)	? PanSTARRS y band magnitude (PS1yMag)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J band magnitude (tmassJmag)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H band magnitude (tmassHmag)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks band magnitude (tmassKsmag)	[ucd=phot.mag;em.IR.K]
#Column	Zmag	(F6.3)	? VISTA Z band magnitude (VistaZMag)	[ucd=phot.mag;em.opt.I]
#Column	Ymag	(F7.3)	? VISTA Y band magnitude (VistaYmag)	[ucd=phot.mag;em.IR.J]
#Column	W1mag	(F6.3)	? WISE W1 (3.4um) band magnitude (WISEw1Mag)	[ucd=phot.mag;em.IR.3-4um]
#Column	W2mag	(F6.3)	? WISE W2 (4.6um) band magnitude (WISEw2Mag)	[ucd=phot.mag;em.IR.4-8um]
#Column	W3mag	(F6.3)	? WISE W3 (12um) band magnitude (WISEw3Mag)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	W4mag	(F6.3)	? WISE W4 (22um) band magnitude (WISEw4Mag)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	FUVmag	(F6.3)	? GALEX FUV band magnitude	[ucd=phot.mag;em.UV]
#Column	NUVmag	(F6.3)	? GALEX NUV band magnitude	[ucd=phot.mag;em.UV]
#Column	a	(F9.3)	? SemiMajor diameter of object (gsc2semiMajorAxis)	[ucd=phys.angSize]
#Column	e	(F6.3)	? Eccentricity of object (gsc2eccentricity)	[ucd=src.orbital.eccentricity]
#Column	PA	(F5.1)	? Position Angle (North thru East) (gsc2positionAngle)	[ucd=pos.posAng;instr.det]
_r;GSC2;RA_ICRS;DE_ICRS;objID;Epoch;Class;Gmag;OMag;Bjmag;Fpgmag;Epgmag;Npgmag;Umag;Bmag;Vmag;umag;gmag;rmag;imag;zmag;ymag;Jmag;Hmag;Ksmag;Zmag;Ymag;W1mag;W2mag;W3mag;W4mag;FUVmag;NUVmag;a;e;PA
 7.3355;S8U7000563;237.36320292098;-49.43272932298;    22302333563; 2015.500;0;10.116603;         ;         ;         ;         ;         ;         ;10.484000;10.183000;11.247; 10.504;10.181;10.253;      ;       ;  9.604;  9.511;  9.442;      ;       ; 9.389; 9.412; 9.501; 8.291;      ;      ;         ;      ;
 7.5388;S8U7000680;237.55227654602;-49.63247263570;    22302333680; 2015.500;0;13.202467;         ;13.315600;12.240900;         ;11.964200;         ;13.237000;12.587000;13.988; 12.885;12.394;12.244;      ;       ; 11.346; 11.063; 10.938;      ;       ;      ;      ;      ;      ;      ;      ;    6.453; 0.014; 63.2
 7.6193;S8U7000609;237.31347443046;-49.50740640006;    22302333609; 2015.500;0;10.555657;         ;         ;         ;         ;         ;         ;11.372000;10.702000;12.079; 11.146;10.517;10.403;      ;       ;  9.498;  9.150;  9.082;      ;       ; 9.021; 9.062; 9.053; 8.529;      ;      ;         ;      ;
 7.8170;S8U7000535;237.50112468690;-49.37981689729;    22302333535; 2015.500;0;11.758388;         ;12.250800;10.967800;         ;10.577000;         ;12.534000;11.894000;13.071; 12.182;11.689;11.508;      ;       ; 10.594; 10.254; 10.196;      ;       ;      ;      ;      ;      ;      ;      ;    9.088; 0.153;175.8
 7.9698;S8U7000583;237.70184692033;-49.46584297720;    22302333583; 2015.500;0;10.272374;         ;         ;         ;         ;         ;         ;10.681000;10.333000;11.475; 10.744;10.337;10.392;      ;       ;  9.760;  9.669;  9.627;      ;       ; 9.598; 9.621; 9.549; 8.582;      ;      ;         ;      ;
 8.0455;S8U7000682;237.42544275344;-49.63265525067;    22302333682; 2015.500;0;12.391012;         ;13.286100;12.208600;         ;11.856300;         ;         ;         ;13.800; 12.645;12.339;12.273;      ;       ; 11.276; 10.985; 10.956;      ;       ;10.830;10.850;10.687; 8.499;      ;      ;    6.642; 0.045;  3.8
 8.1023;S8U7000617;237.71672591615;-49.51672206555;    22302333617; 2015.500;0;12.342008;         ;         ;         ;         ;         ;         ;13.273000;12.502000;14.080; 12.842;12.265;12.034;      ;       ; 11.067; 10.691; 10.595;      ;       ;10.270;10.362;10.534; 8.915;      ;      ;         ;      ;
 8.1169;S8U7000607;237.30142208674;-49.49858323482;    22302333607; 2015.500;0; 8.758100;         ;         ;         ;         ;         ;         ; 9.773000; 8.940000; 9.915;  9.742; 8.792; 8.712;      ;       ;  7.894;  7.686;  7.627;      ;       ; 7.610; 7.614; 7.624; 7.652;      ;      ;         ;      ;
 8.3196;S8U7000684;237.42343841779;-49.63707461348;    22302333684; 2015.500;0;13.152946;         ;13.936700;12.728600;         ;12.532700;         ;         ;         ;14.362; 13.355;13.109;13.075;      ;       ; 12.113; 11.842; 11.806;      ;       ;11.676;11.715;11.453; 8.947;      ;      ;    6.892; 0.219; 14.1
 8.4962;S8U7000624;237.29248550911;-49.52714730055;    22302333624; 2015.500;0; 9.626567;         ;         ;         ;         ;         ;         ;10.021000; 9.685000;10.070; 10.126; 9.858; 9.937;      ;       ;  9.451;  9.421;  9.413;      ;       ; 9.425; 9.437; 9.607; 8.715;      ;      ;         ;      ;
 8.6613;S8U7296380;237.62880523738;-49.38846110252; 22302333296380; 2015.500;0;11.420958;         ;         ;         ;         ;         ;         ;11.740000;11.485000;12.659; 11.623;11.451;11.511;      ;       ; 10.827; 10.751; 10.679;      ;       ;10.537;10.551;10.331; 9.003;      ;      ;         ;      ;
 8.7581;S8U7000551;237.68318413639;-49.41785443198;    22302333551; 2015.500;0;19.427164;         ;         ;         ;         ;         ;         ;12.674000;12.217000;13.417; 12.403;12.129;12.049;      ;       ; 11.205; 11.032; 10.956;      ;       ;10.925;10.944;11.648; 9.326;      ;      ;         ;      ;
 8.8332;S8U7000685;237.39569692067;-49.63757586260;    22302333685; 2015.500;0;12.161680;         ;13.248300;11.691100;         ;11.344000;         ;13.309000;12.404000;14.344; 12.820;12.093;11.823;      ;       ; 10.727; 10.254; 10.162;      ;       ;10.101;10.158;10.080; 8.232;      ;      ;    8.207; 0.147; 36.2
 8.8876;S8U7000560;237.31726278047;-49.42989861879;    22302333560; 2015.500;0;11.819673;         ;14.089600;11.592200;         ;11.544900;         ;12.307000;11.895000;13.089; 12.061;11.813;11.819;      ;       ; 10.968; 10.802; 10.734;      ;       ;10.688;10.706;10.543; 8.416;      ;      ;    8.202; 0.104;178.0
 9.5832;S8U7015063;237.27928460659;-49.45310946868;  2230233315063; 2015.500;0;19.746868;         ;14.390700;13.038000;         ;12.749200;         ;14.119000;13.500000;14.675; 13.775;13.338;13.216;      ;       ; 12.292; 11.973; 11.911;      ;       ;11.911;11.978;12.262; 8.542;      ;      ;    6.275; 0.138; 48.8
 9.6794;S8U7000670;237.32180314887;-49.61622254281;    22302333670; 2015.500;0;11.550485;         ;         ;         ;         ;         ;         ;12.058000;11.665000;12.746; 11.814;11.519;      ;      ;       ; 10.726; 10.521; 10.477;      ;       ;10.323;10.364;10.612; 8.583;      ;      ;         ;      ;
 9.7355;S8U7008779;237.50809737709;-49.67225706518;   223023338779; 2015.500;0;13.325063;         ;14.481800;13.145900;         ;12.968600;         ;14.143000;13.486000;14.836; 13.779;13.343;13.158;      ;       ; 12.164; 11.848; 11.816;      ;       ;11.842;11.935;11.491; 8.492;      ;      ;    5.720; 0.136; 58.1
10.0187;S8U7000623;237.76524317006;-49.52437700881;    22302333623; 2015.500;0;10.680747;         ;         ;         ;         ;         ;         ;12.215000;11.043000;13.543; 11.643;10.649;10.251;      ;       ;  8.866;  8.301;  8.182;      ;       ; 8.082; 8.156; 8.068; 8.182;      ;      ;         ;      ;
10.1739;S8U7000676;237.32069478651;-49.62763656158;    22302333676; 2015.500;0;19.667988;         ;13.308500;11.998800;         ;11.543800;         ;13.588000;13.087000;14.578; 13.320;12.958;12.799;      ;       ; 12.288; 12.159; 12.125;      ;       ;      ;      ;      ;      ;      ;      ;    8.194; 0.286; 67.7
10.2639;S8U7000695;237.66585429613;-49.64754792324;    22302333695; 2015.500;0;19.542303;         ;         ;         ;         ;         ;         ;12.157000;11.624000;13.331; 11.859;11.483;11.326;      ;       ; 10.372; 10.229; 10.089;      ;       ; 9.988; 9.918; 9.293; 7.947;      ;      ;         ;      ;
10.4623;S8U7008532;237.47564918183;-49.68302681094;   223023338532; 2015.500;0;13.331086;         ;14.471200;13.111500;         ;12.826100;         ;14.151000;13.511000;14.734; 13.787;13.318;13.154;      ;       ; 12.147; 11.836; 11.762;      ;       ;11.736;11.810;11.659; 9.005;      ;      ;    6.080; 0.213; 22.8
10.4987;S8U7000529;237.35413571052;-49.36690391765;    22302333529; 2015.500;0;12.906003;         ;14.007800;12.547000;         ;12.278700;         ;13.774000;12.975000;14.518; 13.328;12.714;12.508;      ;       ; 11.430; 11.034; 11.022;      ;       ;10.900;10.987;11.573; 8.894;      ;      ;    6.581; 0.174; 13.4
10.7700;S8U7000621;237.23291137454;-49.51945971414;    22302333621; 2015.500;0;12.720102;         ;14.069400;12.201600;         ;11.999900;         ;         ;         ;14.469; 13.065;12.655;12.480;      ;       ; 11.376; 10.951; 10.836;      ;       ;10.786;10.846;11.034; 8.536;      ;      ;    7.038; 0.015; 79.0
10.8044;S8U7000517;237.64420226602;-49.35285498141;    22302333517; 2015.500;0; 8.865154;         ;         ;         ;         ;         ;         ; 9.316000; 8.897000; 9.657;  9.606; 8.968; 9.134;      ;       ;  8.602;  8.585;  8.560;      ;       ; 8.513; 8.537; 8.609; 8.402;      ;      ;         ;      ;
10.9392;S8U7018552;237.50785976135;-49.32768099977;  2230233318552; 2015.500;0;12.898845;         ;         ;12.615500;         ;         ;         ;         ;         ;14.281; 13.031;12.840;12.876;      ;       ; 11.970; 11.791; 11.727;      ;       ;      ;      ;      ;      ;      ;      ;    6.371; 0.213;149.3
10.9756;S8U7000686;237.71054993417;-49.63798598546;    22302333686; 2015.500;0;13.089377;         ;13.675300;12.965300;         ;12.600900;         ;13.955000;13.208000;14.676; 13.552;12.983;12.738;      ;       ; 11.891; 11.595; 11.478;      ;       ;11.284;11.272;10.806; 8.962;      ;      ;    5.994; 0.115; 22.8
11.0340;S8U7000633;237.22809274562;-49.53379841746;    22302333633; 2015.500;0;12.965309;         ;         ;         ;         ;         ;         ;12.265000;11.578000;12.993; 11.895;11.366;11.190;      ;       ; 10.306;  9.987;  9.843;      ;       ; 9.774; 9.826; 9.876; 8.171;      ;      ;         ;      ;
11.0807;S8U7000678;237.29366881837;-49.63085347656;    22302333678; 2015.500;0; 8.298300;         ;         ;         ;         ;         ;         ;10.351000; 8.822000;11.658; 10.223; 8.332; 7.771;      ;       ;  6.211;  5.620;  5.393;      ;       ; 5.266; 5.243; 5.284; 5.249;      ;      ;         ;      ;
11.2430;S8U7000707;237.38829984433;-49.68026927837;    22302333707; 2015.500;0;12.551630;         ;         ;         ;         ;         ;         ;13.225000;12.656000;13.797; 12.903;12.508;12.409;      ;       ; 11.475; 11.232; 11.196;      ;       ;11.069;11.109;11.709; 8.443;      ;      ;         ;      ;
11.4890;S8U7000677;237.73789617862;-49.63095853522;    22302333677; 2015.500;0;12.727485;         ;13.559000;12.093700;         ;12.069500;         ;13.813000;12.981000;14.505; 13.351;12.668;12.357;      ;       ; 11.226; 10.716; 10.654;      ;       ;10.518;10.561;10.537; 8.887;      ;      ;    8.446; 0.367; 51.9
11.5097;S8U7014537;237.21892426390;-49.47400001176;  2230233314537; 2015.500;0;13.165473;         ;14.010000;12.715900;         ;12.339900;         ;13.842000;13.284000;14.461; 13.547;13.096;12.992;      ;       ; 12.045; 11.784; 11.712;      ;       ;11.643;11.708;12.300; 8.546;      ;      ;    5.931; 0.059;173.3
11.5787;S8U7000526;237.31797220232;-49.36232233816;    22302333526; 2015.500;0;19.318815;         ;         ;         ;         ;         ;         ;13.074000;12.473000;13.593; 12.732;12.301;12.170;      ;       ; 11.188; 10.914; 10.884;      ;       ;10.663;10.716;11.051; 8.900;      ;      ;         ;      ;
11.7196;S8U7000520;237.69921848708;-49.35883656047;    22302333520; 2015.500;0;11.752215;         ;         ;         ;         ;         ;         ;12.981000;12.026000;14.074; 12.472;11.696;11.391;      ;       ; 10.142;  9.701;  9.574;      ;       ; 9.502; 9.550; 9.442; 8.727;      ;      ;         ;      ;
